h1b1,       1
h1b2,       1
h1b3,       0
h1b4,       1
h1b5,       1
h1b6,       1
h1b7,       1
h1b8,       0
h1b9,       1
h1b10,       1
h1b11,       1
h1b12,       0
h1b13,       0
h1b14,       0
h1b15,       1
h1b16,       0
h1b17,       1
h1b18,       1
h1b19,       1
h1b20,       1
h1b21,       0
h1b22,       1
h1b23,       0
h1b24,       1
h2b1,       0
h2b2,       1
h2b3,       1
h2b4,       1
h2b5,       1
h2b6,       1
h2b7,       0
h2b8,       1
h2b9,       1
h2b10,       1
h2b11,       1
h2b12,       0
h2b13,       1
h2b14,       0
h2b15,       1
h2b16,       1
h2b17,       1
h2b18,       1
h2b19,       1
h2b20,       1
h2b21,       0
h2b22,       1
h2b23,       1
h2b24,       1
h3b1,       1
h3b2,       1
h3b3,       1
h3b4,       1
h3b5,       1
h3b6,       1
h3b7,       1
h3b8,       0
h3b9,       1
h3b10,       1
h3b11,       1
h3b12,       1
h3b13,       1
h3b14,       1
h3b15,       1
h3b16       1
h3b17,       1
h3b18,       1
h3b19,       1
h3b20,       1
h3b21,       0
h3b22,       0
h3b23,       1
h3b24,       1
h4b1,       1
h4b2,       1
h4b3,       1
h4b4,       1
h4b5,       1
h4b6,       1
h4b7,       1
h4b8,       1
h4b9,       1
h4b10,       1
h4b11,       1
h4b12,       1
h4b13,       1
h4b14,       1
h4b15,       1
h4b16,       0
h4b17,       1
h4b18,       1
h4b19,       1
h4b20,       1
h4b21,       1
h4b22,       1
h4b23,       1
h4b24,       1
h5b1,       1
h5b2,       0
h5b3,       0
h5b4,       1
h5b5,       1
h5b6,       1
h5b7,       1
h5b8,       1
h5b9,       1
h5b10,       1
h5b11,       1
h5b12,       1
h5b13,       1
h5b14,       1
h5b15,       1
h5b16,       0
h5b17,       1
h5b18,       0
h5b19,       0
h5b20,       1
h5b21,       1
h5b22,       1
h5b23,       1
h5b24,       1
h6b1,       1
h6b2,       1
h6b3,       0
h6b4,       1
h6b5,       0
h6b6,       1
h6b7,       1
h6b8,       0
h6b9,       0
h6b10,       1
h6b11,       0
h6b12,       1
h6b13,       0
h6b14,       0
h6b15,       1
h6b16,       0
h6b17,       1
h6b18,       1
h6b19,       1
h6b20,       1
h6b21,       1
h6b22,       1
h6b23,       1
h6b24,       0
